"","Region","Market","Month","Year","Longitude","Latitude","01.1.1.2 UNMILLED CEREALS/GRAINS_Barley White","01.1.1.2 UNMILLED CEREALS/GRAINS_Barley Mixed","01.1.1.2 UNMILLED CEREALS/GRAINS_Barley Black","01.1.1.2 UNMILLED CEREALS/GRAINS_Barley for Beer","P R I C E   I N    B I R R_Hulled Barley (Temez)","CEREALS MILLED_Barley White","CEREALS MILLED_Barley Mixed","01.2.1.1 COFFEE AND TEA_Malt-Barley","CEREALS UNMILLED_Barley White","CEREALS UNMILLED_Barley Mixed","CEREALS UNMILLED_Barley Black","CEREALS UNMILLED_Barley for Beer","CEREALS UNMILLED_Hulled Barley","P R I C E   I N    B I R R_Malt-Barley"
"538","OROMIYA","Nazareth","March","2017","39.26941988","8.535362997",NA,NA,NA,NA,NA,"20.00","-",NA,"10.00","10.66","10.66","10.49","11.32","15.00"
"539","OROMIYA","Shashe-","March","2017","38.608142","7.205388",NA,NA,NA,NA,NA,"-","-",NA,"8.65","8.83","9.00","12.00","-","24.08"
"540","OROMIYA","Diksise","March","2017","39.55824","8.059179",NA,NA,NA,NA,NA,"-","-",NA,"7.25","6.16","6.16","9.28","-","-"
"541","OROMIYA","Asella","March","2017","39.12972322","7.949589951",NA,NA,NA,NA,NA,"-","-",NA,"9.65","8.00","8.00","9.83","-","17.14"
"542","OROMIYA","Asebe- Teferi ","March","2017","40.86319806","9.072493603",NA,NA,NA,NA,NA,"-","-",NA,"13.00","10.49","10.63","13.00","-","39.70"
"543","OROMIYA","Bedessa","March","2017","40.77378712","8.902011546",NA,NA,NA,NA,NA,"-","-",NA,"13.00","-","-","-","-","-"
"544","OROMIYA","Alemaya","March","2017","42.01641123","9.379383214",NA,NA,NA,NA,NA,"-","-",NA,"14.00","-","-","-","-","-"
"545","OROMIYA","Boreda","March","2017","41.278686","9.331067",NA,NA,NA,NA,NA,"-","-",NA,"12.66","-","-","-","-","-"
"546","OROMIYA","Adaba","March","2017","39.3890878","7.004454253",NA,NA,NA,NA,NA,"-","-",NA,"8.25","6.51","6.59","8.19","-","-"
"547","OROMIYA","Robe","March","2017","39.631104","7.860619",NA,NA,NA,NA,NA,"-","-",NA,"9.43","6.12","-","-","-","-"
"548","OROMIYA","Hagere- Mariam ","March","2017","38.23373735","5.63380625",NA,NA,NA,NA,NA,"-","-",NA,"10.32","-","-","14.66","-","10.63"
"549","OROMIYA","Negele- Borena ","March","2017","39.577385","5.33699",NA,NA,NA,NA,NA,"30.00","20.00",NA,"8.98","10.59","12.50","12.58","-","-"
"550","OROMIYA","Adama","May","2017","39.26941988","8.535362997","12.23","11.00","10.95","12.00","10.49","24.49","-","15.00",NA,NA,NA,NA,NA,NA
"551","OROMIYA","Shashe- mene ","May","2017","38.608142","7.205388","10.00","10.00","11.00","12.49","-","-","-","15.00",NA,NA,NA,NA,NA,NA
"552","OROMIYA","Diksise","May","2017","39.55824","8.059179","7.68","7.25","7.25","9.34","-","-","-","-",NA,NA,NA,NA,NA,NA
"553","OROMIYA","Asella","May","2017","39.12972322","7.949589951","10.49","9.75","9.75","10.75","-","-","-","18.67",NA,NA,NA,NA,NA,NA
"554","OROMIYA","Asebe- Teferi ","May","2017","40.86319806","9.072493603","13.49","10.49","10.00","13.49","-","-","-","31.13",NA,NA,NA,NA,NA,NA
"555","OROMIYA","Bedessa","May","2017","40.77378712","8.902011546","13.00","-","-","-","-","-","-","-",NA,NA,NA,NA,NA,NA
"556","OROMIYA","Haromaya","May","2017","42.01641123","9.379383214","14.00","-","-","-","-","-","-","-",NA,NA,NA,NA,NA,NA
"557","OROMIYA","Boreda","May","2017","41.278686","9.331067","13.00","-","-","-","-","-","-","-",NA,NA,NA,NA,NA,NA
"558","OROMIYA","Adaba","May","2017","39.3890878","7.004454253","9.44","7.17","7.29","9.56","-","-","-","-",NA,NA,NA,NA,NA,NA
"559","OROMIYA","Robe","May","2017","39.631104","7.860619","9.44","7.34","-","-","-","-","-","-",NA,NA,NA,NA,NA,NA
"560","OROMIYA","Hagere- Mariam ","May","2017","38.23373735","5.63380625","10.49","-","9.00","13.49","-","-","-","15.00",NA,NA,NA,NA,NA,NA
"561","OROMIYA","Negele- Borena ","May","2017","39.577385","5.33699","14.00","14.00","14.00","10.95","-","30.00","25.00","-",NA,NA,NA,NA,NA,NA
"562","OROMIYA","Nazareth","November","2016","39.26941988","8.535362997",NA,NA,NA,NA,NA,"21.66","-",NA,"11.66","9.65","9.65","10.66","13.30","14.02"
"563","OROMIYA","Shashe-","November","2016","38.608142","7.205388",NA,NA,NA,NA,NA,"-","-",NA,"9.32","9.00","10.00","12.00","-","24.49"
"564","OROMIYA","Diksise","November","2016","39.55824","8.059179",NA,NA,NA,NA,NA,"-","-",NA,"7.79","-","3.91","9.57","-","-"
"565","OROMIYA","Asella","November","2016","39.12972322","7.949589951",NA,NA,NA,NA,NA,"-","-",NA,"11.66","7.83","7.83","9.65","-","16.68"
"566","OROMIYA","Asebe- Teferi ","November","2016","40.86319806","9.072493603",NA,NA,NA,NA,NA,"-","-",NA,"12.27","10.00","10.00","12.27","-","30.77"
"567","OROMIYA","Bedessa","November","2016","40.77378712","8.902011546",NA,NA,NA,NA,NA,"-","-",NA,"13.00","-","-","-","-","-"
"568","OROMIYA","Alemaya","November","2016","42.01641123","9.379383214",NA,NA,NA,NA,NA,"-","-",NA,"13.66","-","-","-","-","-"
"569","OROMIYA","Boreda","November","2016","41.278686","9.331067",NA,NA,NA,NA,NA,"-","-",NA,"12.66","-","-","-","-","-"
"570","OROMIYA","Adaba","November","2016","39.3890878","7.004454253",NA,NA,NA,NA,NA,"-","-",NA,"7.11","5.32","5.27","7.13","-","-"
"571","OROMIYA","Robe","November","2016","39.631104","7.860619",NA,NA,NA,NA,NA,"-","-",NA,"8.22","6.06","-","-","-","-"
"572","OROMIYA","Hagere- Mariam ","November","2016","38.23373735","5.63380625",NA,NA,NA,NA,NA,"-","-",NA,"9.65","-","-","13.66","-","-"
